country,iso3,year,g_whoregion,contact_screening_rate,tpt_start_rate,tpt_completion_rate,contact_screening_rate_edge_flag,tpt_start_rate_edge_flag,tpt_completion_rate_edge_flag,c_newinc,c_newinc_next_year,c_newinc_percent_change_next_year,case_change_direction,low_c_newinc_flag,temporal_analysis_cohort_flag
China,CHN,2022,WPR,0.7813916412290581,0.010451184277109418,0.5654041390082,False,False,False,501261.0,564918.0,12.699372183353583,Anstieg,False,True
China,CHN,2023,WPR,0.8115198926876088,0.008733008389562482,0.9841101694915254,False,False,False,564918.0,531097.0,-5.9868865923904,Rückgang,False,True
Côte d'Ivoire,CIV,2019,AFR,1.0,0.41790623898484314,0.7736167341430499,True,False,False,21208.0,19717.0,-7.030365899660505,Rückgang,False,False
Côte d'Ivoire,CIV,2020,AFR,0.17654900964956832,0.17045454545454544,0.8217877094972067,False,False,False,19717.0,20729.0,5.132626667342902,Anstieg,False,False
Côte d'Ivoire,CIV,2021,AFR,0.15291657698102765,0.17573260354847636,0.8325459317585302,False,False,False,20729.0,21829.0,5.306575329248878,Anstieg,False,False
Cameroon,CMR,2022,AFR,1.0,,0.06135504507124164,True,False,False,24722.0,25129.0,1.6463069330960276,Anstieg,False,False
Democratic Republic of the Congo,COD,2019,AFR,0.8023220066188039,0.6286597826283523,,False,False,False,178527.0,200955.0,12.562805626039758,Anstieg,False,True
Democratic Republic of the Congo,COD,2020,AFR,0.857762307546094,0.5349030602547045,,False,False,False,200955.0,214408.0,6.69453360205021,Anstieg,False,True
Democratic Republic of the Congo,COD,2021,AFR,0.8919433583858355,0.6018576666734193,,False,False,False,214408.0,246119.0,14.790026491548822,Anstieg,False,True
Democratic Republic of the Congo,COD,2022,AFR,0.8837998175773977,0.6531859881349927,,False,False,False,246119.0,258069.0,4.855374839000646,Anstieg,False,True
Democratic Republic of the Congo,COD,2023,AFR,0.8880599318768845,0.9046790907313459,0.7436472006733853,False,False,False,258069.0,286720.0,11.102069601540673,Anstieg,False,True
Congo,COG,2022,AFR,0.0,1.0,,True,True,False,13727.0,14370.0,4.684199023821665,Anstieg,False,False
Congo,COG,2023,AFR,0.20915678524374176,0.11317523056653492,0.8084982537834692,False,False,False,14370.0,13333.0,-7.216423103688239,Rückgang,False,False
Cook Islands,COK,2019,WPR,1.0,,,True,False,False,1.0,1.0,0.0,Unverändert,True,False
Colombia,COL,2019,AMR,0.16919072408897304,0.1110269758637009,,False,False,False,14292.0,12088.0,-15.42121466554716,Rückgang,False,True
Colombia,COL,2020,AMR,0.07013450452923414,0.10005489980785068,0.23251028806584362,False,False,False,12088.0,13659.0,12.996360026472534,Anstieg,False,True
Colombia,COL,2021,AMR,0.188738627981313,0.11266289648389476,0.8847664775207333,False,False,False,13659.0,16692.0,22.20513946848232,Anstieg,False,True
Colombia,COL,2022,AMR,0.15908146917462768,0.07405209754939773,0.8733974358974359,False,False,False,16692.0,19970.0,19.638150011981786,Anstieg,False,True
Colombia,COL,2023,AMR,0.12921957047203622,0.05112105131553358,0.8429347826086957,False,False,False,19970.0,20977.0,5.042563845768653,Anstieg,False,True
Comoros,COM,2023,AFR,1.0,1.0,,True,True,False,107.0,128.0,19.626168224299064,Anstieg,False,False
Cabo Verde,CPV,2019,AFR,1.0,0.3724137931034483,1.0,True,False,True,203.0,207.0,1.9704433497536946,Anstieg,False,False
Cabo Verde,CPV,2020,AFR,1.0,0.43636363636363634,1.0,True,False,True,207.0,182.0,-12.077294685990339,Rückgang,False,False
Cabo Verde,CPV,2021,AFR,1.0,0.7435897435897436,1.0,True,False,True,182.0,145.0,-20.32967032967033,Rückgang,False,False
Costa Rica,CRI,2021,AMR,0.9931192660550459,0.2855504587155963,1.0,False,False,True,350.0,392.0,12.0,Anstieg,False,False
Costa Rica,CRI,2022,AMR,1.0,0.34175217048145223,,True,False,False,392.0,474.0,20.918367346938776,Anstieg,False,False
Costa Rica,CRI,2023,AMR,0.8892900120336944,0.4645006016847172,1.0,False,False,True,474.0,455.0,-4.008438818565401,Rückgang,False,False
Cuba,CUB,2019,AMR,1.0,0.2627378759975445,0.36253894080996885,True,False,False,636.0,580.0,-8.80503144654088,Rückgang,False,True
Cuba,CUB,2020,AMR,0.8860091474140964,0.07212384191392049,0.9560975609756097,False,False,False,580.0,509.0,-12.241379310344827,Rückgang,False,True
Cuba,CUB,2021,AMR,0.7998829724985371,0.17992978349912228,0.9560975609756097,False,False,False,509.0,717.0,40.86444007858546,Anstieg,False,True
Cuba,CUB,2022,AMR,1.0,0.182559324501383,0.6004784688995215,True,False,False,717.0,753.0,5.02092050209205,Anstieg,False,True
Cuba,CUB,2023,AMR,0.9751865066493675,0.3358741485566007,0.5200386286817963,False,False,False,753.0,1054.0,39.9734395750332,Anstieg,False,True
Cayman Islands,CYM,2022,AMR,1.0,0.08333333333333333,1.0,True,False,True,6.0,3.0,-50.0,Rückgang,True,False
Dominica,DMA,2023,AMR,1.0,0.5,0.0,True,False,True,4.0,3.0,-25.0,Rückgang,True,False
Dominican Republic,DOM,2019,AMR,0.5114247311827957,,,False,False,False,3588.0,2619.0,-27.0066889632107,Rückgang,False,True
Dominican Republic,DOM,2020,AMR,0.41448140900195696,0.016634050880626222,,False,False,False,2619.0,3374.0,28.827796869033982,Anstieg,False,True
Dominican Republic,DOM,2021,AMR,0.568019093078759,,,False,False,False,3374.0,4080.0,20.92471843509188,Anstieg,False,True
Dominican Republic,DOM,2022,AMR,0.5469798657718121,0.034995206136145734,0.9178082191780822,False,False,False,4080.0,4377.0,7.279411764705883,Anstieg,False,True
Dominican Republic,DOM,2023,AMR,0.4449003516998828,0.01626611957796014,,False,False,False,4377.0,4506.0,2.9472241261137766,Anstieg,False,True
Algeria,DZA,2022,AFR,0.1091,0.1091,1.0,False,False,True,18738.0,18804.0,0.35222542427153375,Anstieg,False,False
